timestamp,mode,cage_version,raw_steering,raw_throttle,safe_steering,safe_throttle,emergency,rules_fired,cycles_since_last_state,oscillation_persistent,osc_rate_c01,osc_rate_c02,osc_rate_c03
0.000000,enforcement,0.5.0,-0.692913638335665,0.5,-0.692913638335665,0.5,0,,0,0,0.0,0.0,0.0
0.050000,enforcement,0.5.0,0.03144694400900405,0.5,-0.542913638335665,0.5,0,C-06,0,0,0.0,0.0,0.0
0.100000,enforcement,0.5.0,-0.46330513179269245,0.5,-0.46330513179269245,0.5,0,,0,0,0.0,0.0,0.0
0.150000,enforcement,0.5.0,-0.453042030093238,0.5,-0.453042030093238,0.5,0,,0,0,0.0,0.0,0.0
0.200000,enforcement,0.5.0,-0.43141197352072574,0.5,-0.43141197352072574,0.5,0,,0,0,0.0,0.0,0.0
0.250000,enforcement,0.5.0,-0.4113895545553944,0.5,-0.4113895545553944,0.5,0,,0,0,0.0,0.0,0.0
0.300000,enforcement,0.5.0,-0.3909619241905831,0.5,-0.3909619241905831,0.5,0,,0,0,0.0,0.0,0.0
0.350000,enforcement,0.5.0,-0.3705017971657158,0.5,-0.3705017971657158,0.5,0,,0,0,0.0,0.0,0.0
0.400000,enforcement,0.5.0,-0.35000096424274263,0.5,-0.35000096424274263,0.5,0,,0,0,0.0,0.0,0.0
0.450000,enforcement,0.5.0,-0.3295098923347286,0.5,-0.3295098923347286,0.5,0,,0,0,0.0,0.0,0.0
0.500000,enforcement,0.5.0,-0.3090679917225808,0.5,-0.3090679917225808,0.5,0,,0,0,0.0,0.0,0.0
0.550000,enforcement,0.5.0,-0.28871462588413854,0.5,-0.28871462588413854,0.5,0,,0,0,0.0,0.0,0.0
0.600000,enforcement,0.5.0,-0.2684873533073538,0.5,-0.2684873533073538,0.5,0,,0,0,0.0,0.0,0.0
0.650000,enforcement,0.5.0,-0.24842218927438406,0.5,-0.24842218927438406,0.5,0,,0,0,0.0,0.0,0.0
0.700000,enforcement,0.5.0,-0.22855355326047652,0.5,-0.22855355326047652,0.5,0,,0,0,0.0,0.0,0.0
0.750000,enforcement,0.5.0,-0.20891426944290714,0.5,-0.20891426944290714,0.5,0,,0,0,0.0,0.0,0.0
