timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,12.181600,26.921,nan,nan,nan,nan,nan,nan,0.888672,0.033203,0.005859,0.058594,0.146484,0.000000,0.027344,0.865234
2048,15.853539,33.169,-0.038461,0.828455,1.420451,0.012101,0.049219,1.001533,0.895508,0.016602,0.011719,0.070312,0.088867,0.000000,0.014648,0.868164
3072,19.050997,39.351,-0.057111,1.826112,1.420783,0.030055,0.171484,0.998621,0.896484,0.011719,0.014648,0.049805,0.099609,0.000000,0.008789,0.879883
4096,23.319149,46.767,0.277437,0.183178,1.417913,0.041748,0.247461,0.991150,0.903320,0.005859,0.002930,0.061523,0.075195,0.000000,0.005859,0.890625
5120,28.344753,53.208,-0.045262,0.530997,1.405264,0.054051,0.280469,0.978060,0.900391,0.009766,0.000000,0.036133,0.028320,0.000000,0.005859,0.888672
6144,31.074014,56.460,-0.282147,0.209044,1.376788,0.090385,0.311133,0.933771,0.881836,0.018555,0.003906,0.022461,0.096680,0.000000,0.015625,0.862305
7168,36.937939,65.210,0.135247,0.244470,1.337513,0.110320,0.374707,0.902449,0.888672,0.002930,0.009766,0.038086,0.040039,0.000000,0.002930,0.878906
8192,40.287503,70.440,0.267598,0.171812,1.303333,0.126265,0.375684,0.870061,0.878906,0.009766,0.017578,0.019531,0.083008,0.000000,0.008789,0.868164
9216,46.730956,77.520,0.406283,0.218946,1.268770,0.098310,0.357812,0.844439,0.886719,0.008789,0.002930,0.012695,0.051758,0.000000,0.006836,0.881836
10240,51.701492,82.980,0.392918,0.164810,1.238478,0.110222,0.386914,0.815631,0.885742,0.006836,0.000000,0.018555,0.019531,0.000000,0.006836,0.881836
11264,57.210680,90.570,0.286911,0.197242,1.203672,0.178806,0.405762,0.788876,0.894531,0.005859,0.001953,0.011719,0.041016,0.000000,0.004883,0.880859
12288,60.117421,93.280,0.244821,0.274888,1.173044,0.212855,0.375391,0.773234,0.891602,0.003906,0.000000,0.030273,0.003906,0.000000,0.001953,0.886719
13312,70.393711,105.590,0.254314,0.138810,1.153183,0.123131,0.379492,0.756173,0.909180,0.002930,0.000000,0.052734,0.000000,0.000000,0.000977,0.897461
14336,79.338781,115.670,-0.102670,0.086263,1.129813,0.161096,0.421875,0.736258,0.897461,0.002930,0.000000,0.041992,0.009766,0.000000,0.002930,0.892578
15360,83.921683,120.930,0.632930,0.070204,1.099547,0.166491,0.401562,0.710320,0.874023,0.003906,0.013672,0.017578,0.020508,0.000000,0.002930,0.869141
16384,86.673251,123.800,0.652301,0.174142,1.068109,0.114627,0.358887,0.693969,0.897461,0.000977,0.000000,0.024414,0.000000,0.000000,0.000977,0.894531
17408,94.081877,131.010,0.023718,0.057546,1.045283,0.126021,0.391211,0.678180,0.910156,0.001953,0.000000,0.011719,0.000000,0.000000,0.001953,0.909180
18432,102.586931,139.670,0.037134,0.115081,1.021682,0.145675,0.400000,0.661816,0.876953,0.002930,0.000000,0.044922,0.000000,0.000000,0.002930,0.875977
19456,107.661025,143.260,0.634413,0.120710,0.998930,0.145922,0.420898,0.648635,0.905273,0.003906,0.000000,0.010742,0.000000,0.000000,0.001953,0.902344
20480,115.409497,151.320,0.173623,0.114082,0.975403,0.170020,0.393457,0.630398,0.909180,0.000977,0.000000,0.012695,0.000000,0.000000,0.000977,0.909180
21504,123.527673,160.010,0.445767,0.022542,0.949691,0.161834,0.457129,0.616197,0.911133,0.001953,0.000000,0.006836,0.006836,0.000000,0.001953,0.911133
22528,132.874857,170.270,0.458786,0.054414,0.923756,0.221129,0.437891,0.597131,0.899414,0.000977,0.000000,0.019531,0.000000,0.000000,0.000977,0.897461
