episode,step,x,y,yaw,ey,epsi,s,speed,raw_steer,safe_steer,steer_correction,interventions,emergency
0,1,-0.000895,-0.122355,0.002897,0.000048,0.053542,0.003005,0.053801,0.051753,0.051753,0.000000,,0
0,2,0.009694,-0.122214,0.004624,0.000199,0.055268,0.013594,0.117402,0.020112,0.020112,0.000000,,0
0,3,0.027914,-0.122138,0.000568,0.000293,0.051213,0.031813,0.180995,-0.048839,-0.048839,0.000000,,0
0,4,0.051659,-0.122145,-0.009319,0.000309,0.041325,0.055559,0.199992,-0.117806,-0.117806,0.000000,,0
0,5,0.071657,-0.122154,-0.018786,0.000319,0.031858,0.075557,0.199967,-0.135176,-0.135176,0.000000,,0
0,6,0.095650,-0.122183,-0.028618,0.000312,0.022027,0.099550,0.199922,-0.117455,-0.117455,0.000000,,0
0,7,0.115640,-0.122466,-0.034499,0.000034,-0.021437,0.119540,0.199912,-0.084514,-0.084514,0.000000,,0
0,8,0.135629,-0.123153,-0.031675,-0.000653,-0.018612,0.139529,0.200018,0.042593,0.042593,0.000000,,0
0,9,0.155621,-0.123844,-0.025472,-0.001344,-0.012410,0.159521,0.200053,0.089989,0.089989,0.000000,,0
0,10,0.179615,-0.124673,-0.017518,-0.002173,-0.004456,0.183515,0.200087,0.095044,0.095044,0.000000,,0
0,11,0.203613,-0.125408,-0.010924,-0.002908,-0.010732,0.207513,0.200064,0.078235,0.078235,0.000000,,0
0,12,0.223612,-0.125932,-0.004633,-0.003432,-0.004441,0.227512,0.200055,0.089449,0.089449,0.000000,,0
0,13,0.243612,-0.126304,0.000951,-0.003804,0.001143,0.247512,0.200026,0.078866,0.078866,0.000000,,0
0,14,0.267612,-0.126529,0.006108,-0.004029,0.006300,0.271512,0.200001,0.060698,0.060698,0.000000,,0
0,15,0.291611,-0.126545,0.009510,-0.004045,0.009703,0.295511,0.199991,0.040089,0.040089,0.000000,,0
0,16,0.311610,-0.126435,0.011107,-0.003935,0.011107,0.315510,0.199992,0.022537,0.022537,0.000000,,0
0,17,0.331609,-0.126252,0.011902,-0.003752,0.011902,0.335509,0.199995,0.011208,0.011208,0.000000,,0
0,18,0.351607,-0.126028,0.012182,-0.003528,0.012182,0.355508,0.199998,0.003925,0.003925,0.000000,,0
0,19,0.375606,-0.125738,0.012152,-0.003238,0.012152,0.379506,0.200000,-0.000403,-0.000403,0.000000,,0
0,20,0.399604,-0.125447,0.011916,-0.002947,0.011916,0.403504,0.200000,-0.002829,-0.002829,0.000000,,0
0,21,0.419603,-0.125205,0.011642,-0.002705,0.011642,0.423503,0.200001,-0.003915,-0.003915,0.000000,,0
0,22,0.439601,-0.124963,0.011345,-0.002463,0.011345,0.443501,0.200002,-0.004225,-0.004225,0.000000,,0
0,23,0.459600,-0.124722,0.011054,-0.002222,0.011054,0.463500,0.200002,-0.004152,-0.004152,0.000000,,0
0,24,0.483599,-0.124441,0.010723,-0.001941,0.010723,0.487499,0.200002,-0.003928,-0.003928,0.000000,,0
0,25,0.503597,-0.124214,0.010467,-0.001714,0.010467,0.507497,0.200002,-0.003632,-0.003632,0.000000,,0
0,26,0.523596,-0.123993,0.010230,-0.001493,0.010230,0.527496,0.200002,-0.003377,-0.003377,0.000000,,0
0,27,0.543595,-0.123777,0.010007,-0.001277,0.010007,0.547495,0.200001,-0.003171,-0.003171,0.000000,,0
0,28,0.567594,-0.123524,0.009753,-0.001024,0.009753,0.571494,0.200001,-0.003012,-0.003012,0.000000,,0
0,29,0.591593,-0.123279,0.009510,-0.000779,0.009510,0.595493,0.200001,-0.002878,-0.002878,0.000000,,0
0,30,0.611592,-0.123079,0.009316,-0.000579,0.009316,0.615492,0.200001,-0.002767,-0.002767,0.000000,,0
0,31,0.635591,-0.122844,0.009089,-0.000344,0.009089,0.639491,0.200001,-0.002694,-0.002694,0.000000,,0
0,32,0.659590,-0.122616,0.008867,-0.000116,0.008867,0.663490,0.200001,-0.002624,-0.002624,0.000000,,0
0,33,0.683589,-0.122393,0.008652,0.000107,0.008652,0.687489,0.200001,-0.002556,-0.002556,0.000000,,0
0,34,0.707588,-0.122175,0.008441,0.000325,0.008441,0.711488,0.200001,-0.002491,-0.002491,0.000000,,0
0,35,0.731588,-0.121960,0.008178,0.000540,0.008178,0.735488,0.200001,-0.003129,-0.003129,0.000000,,0
0,36,0.751587,-0.121786,0.007951,0.000714,0.007951,0.755487,0.200001,-0.003219,-0.003219,0.000000,,0
0,37,0.775586,-0.121582,0.007691,0.000918,0.007691,0.779486,0.200001,-0.003080,-0.003080,0.000000,,0
0,38,0.799585,-0.121386,0.007453,0.001114,0.007453,0.803486,0.200001,-0.002821,-0.002821,0.000000,,0
0,39,0.823585,-0.121197,0.007237,0.001303,0.007237,0.827485,0.200001,-0.002552,-0.002552,0.000000,,0
0,40,0.843584,-0.121042,0.006893,0.001458,0.006893,0.847484,0.200001,-0.004908,-0.004908,0.000000,,0
0,41,0.867584,-0.120856,0.006433,0.001644,0.006433,0.871484,0.200002,-0.005446,-0.005446,0.000000,,0
0,42,0.891583,-0.120681,0.006015,0.001819,0.006015,0.895483,0.200001,-0.004946,-0.004946,0.000000,,0
0,43,0.915583,-0.120521,0.005671,0.001979,0.005671,0.919483,0.200001,-0.004060,-0.004060,0.000000,,0
0,44,0.935583,-0.120390,0.005077,0.002110,0.005077,0.939483,0.200002,-0.008471,-0.008471,0.000000,,0
0,45,0.959582,-0.120234,0.004280,0.002266,0.004280,0.963482,0.200002,-0.009414,-0.009414,0.000000,,0
0,46,0.983582,-0.120098,0.003580,0.002402,0.003580,0.987482,0.200002,-0.008263,-0.008263,0.000000,,0
0,47,1.007582,-0.119986,0.003044,0.002514,0.003044,1.011482,0.200001,-0.006303,-0.006303,0.000000,,0
0,48,1.031582,-0.119881,0.001968,0.002619,0.001968,1.035482,0.200002,-0.012743,-0.012743,0.000000,,0
0,49,1.051582,-0.119796,0.000998,0.002704,0.000998,1.055482,0.200001,-0.013732,-0.013732,0.000000,,0
0,50,1.075582,-0.119722,-0.000034,0.002778,-0.000034,1.079482,0.200001,-0.012148,-0.012148,0.000000,,0
0,51,1.099582,-0.119686,-0.000808,0.002814,-0.000808,1.103482,0.200000,-0.009086,-0.009086,0.000000,,0
0,52,1.123582,-0.119682,-0.001302,0.002818,-0.001302,1.127482,0.200000,-0.005799,-0.005799,0.000000,,0
0,53,1.147582,-0.119683,-0.002425,0.002817,-0.002425,1.151482,0.199999,-0.013307,-0.013307,0.000000,,0
0,54,1.167582,-0.119686,-0.003474,0.002814,-0.003474,1.171482,0.199999,-0.014857,-0.014857,0.000000,,0
0,55,1.191582,-0.119715,-0.004606,0.002785,-0.004606,1.195482,0.199998,-0.013352,-0.013352,0.000000,,0
0,56,1.215581,-0.119785,-0.005451,0.002715,-0.005644,1.219481,0.199998,-0.009959,-0.009959,0.000000,,0
0,57,1.235581,-0.119852,-0.004146,0.002648,-0.004339,1.239481,0.199999,0.018783,0.018783,0.000000,,0
0,58,1.259581,-0.119932,-0.001227,0.002568,-0.001419,1.263481,0.200001,0.034557,0.034557,0.000000,,0
0,59,1.283581,-0.120012,0.002091,0.002488,0.001899,1.287481,0.200001,0.039121,0.039121,0.000000,,0
0,60,1.307581,-0.120089,0.005125,0.002411,-0.007937,1.311481,0.199998,0.035767,0.035767,0.000000,,0
0,61,1.331580,-0.120148,0.013851,0.002352,0.000789,1.335480,0.199982,0.104361,0.104361,0.000000,,0
0,62,1.351576,-0.120196,0.023714,0.002304,0.010652,1.355476,0.199947,0.141560,0.141560,0.000000,,0
0,63,1.375565,-0.120205,0.036559,0.002295,0.023497,1.379465,0.199873,0.154427,0.154427,0.000000,,0
0,64,1.399543,-0.119891,0.048513,0.002609,0.035450,1.403443,0.199805,0.144734,0.144734,0.000000,,0
0,65,1.423509,-0.119183,0.058270,0.003294,0.007626,1.427412,0.199782,0.118860,0.118860,0.000000,,0
0,66,1.447456,-0.118354,0.074480,0.004101,0.023836,1.451360,0.199577,0.200824,0.200824,0.000000,,0
0,67,1.471371,-0.117423,0.094023,0.005008,0.043378,1.475276,0.199350,0.243859,0.243859,0.000000,,0
0,68,1.495241,-0.116072,0.114060,0.006336,0.063416,1.499147,0.199158,0.252878,0.252878,0.000000,,0
0,69,1.519058,-0.114154,0.132424,0.007254,0.019014,1.523458,0.199064,0.234432,0.234432,0.000000,,0
0,70,1.538857,-0.112326,0.151724,0.007805,0.038315,1.543333,0.198687,0.300512,0.300512,0.000000,,0
