timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,30.444800,57.750,nan,nan,nan,nan,nan,nan,0.902344,0.015625,0.176758,0.045898,0.177734,0.000000,0.015625,0.861328
2048,33.803494,61.212,-0.006907,45.921357,1.418265,0.000282,0.000000,0.998582,0.898438,0.016602,0.100586,0.041992,0.170898,0.000000,0.016602,0.882812
3072,35.621037,63.646,-0.109372,34.624058,1.418129,0.006325,0.027148,1.001465,0.916016,0.014648,0.137695,0.049805,0.113281,0.000000,0.014648,0.880859
4096,32.539695,58.913,-0.020034,35.141570,1.427097,0.003846,0.019141,1.016280,0.909180,0.020508,0.189453,0.040039,0.242188,0.000000,0.020508,0.873047
5120,33.358434,59.753,0.058580,40.571023,1.426091,0.001302,0.002051,0.993759,0.912109,0.015625,0.110352,0.011719,0.170898,0.000000,0.015625,0.895508
6144,35.634982,62.510,0.275183,42.465849,1.412286,0.005755,0.032617,0.992676,0.896484,0.012695,0.095703,0.024414,0.137695,0.000000,0.012695,0.876953
7168,36.027130,62.420,0.431768,41.431372,1.410903,0.005326,0.043457,0.992337,0.881836,0.016602,0.125000,0.006836,0.159180,0.000000,0.016602,0.862305
8192,37.601399,64.580,0.381796,52.676527,1.401350,0.005139,0.030664,0.974087,0.905273,0.011719,0.170898,0.015625,0.132812,0.000000,0.011719,0.877930
9216,43.216649,72.130,0.262579,58.044842,1.391620,0.004807,0.022461,0.972702,0.899414,0.004883,0.038086,0.003906,0.047852,0.000000,0.004883,0.893555
10240,49.565696,80.810,0.334729,46.679323,1.391701,0.008288,0.107227,0.973941,0.896484,0.001953,0.045898,0.005859,0.040039,0.000000,0.001953,0.890625
11264,52.475455,84.310,-0.140815,38.450921,1.395466,0.001963,0.004492,0.982451,0.905273,0.004883,0.084961,0.006836,0.055664,0.000000,0.004883,0.895508
12288,59.423216,93.550,0.043308,69.609306,1.408172,0.004274,0.032520,0.997735,0.888672,0.002930,0.075195,0.014648,0.062500,0.000000,0.002930,0.876953
13312,66.741930,103.230,0.382441,40.561602,1.417759,0.003981,0.019922,0.999493,0.888672,0.000977,0.057617,0.004883,0.032227,0.000000,0.000977,0.880859
14336,71.789272,110.030,-0.025890,29.336875,1.413380,0.011160,0.027832,0.982630,0.902344,0.001953,0.128906,0.000000,0.048828,0.000000,0.001953,0.894531
15360,78.816111,119.210,-0.011232,46.965661,1.399297,0.010366,0.080469,0.981472,0.885742,0.000000,0.086914,0.000000,0.029297,0.000000,0.000000,0.882812
16384,83.199683,124.840,0.003551,10.608821,1.397454,0.002564,0.007422,0.973743,0.907227,0.000977,0.055664,0.004883,0.040039,0.000000,0.000977,0.900391
17408,92.587072,137.200,-0.005417,29.500745,1.394253,0.006036,0.035742,0.983023,0.895508,0.001953,0.067383,0.007812,0.048828,0.000000,0.001953,0.889648
18432,97.579682,143.630,0.060811,45.405045,1.398271,0.004615,0.082227,0.975121,0.914062,0.000977,0.058594,0.000000,0.035156,0.000000,0.000977,0.909180
19456,105.278574,152.990,-0.052742,35.519166,1.391561,0.001899,0.018164,0.969920,0.892578,0.000000,0.052734,0.000000,0.024414,0.000000,0.000000,0.885742
20480,116.856739,166.860,-0.018686,6.144176,1.382607,0.002885,0.013281,0.951774,0.890625,0.000000,0.002930,0.000000,0.024414,0.000000,0.000000,0.889648
21504,124.356004,176.100,-0.073057,4.396693,1.359175,0.004475,0.023926,0.922742,0.897461,0.000000,0.037109,0.008789,0.023438,0.000000,0.000000,0.896484
22528,131.736339,185.250,0.170594,2.832712,1.330664,0.005368,0.079395,0.914338,0.899414,0.000000,0.023438,0.000000,0.026367,0.000000,0.000000,0.897461
23552,139.208929,193.750,0.012770,2.401474,1.318871,0.006874,0.045801,0.882562,0.891602,0.000000,0.036133,0.000000,0.028320,0.000000,0.000000,0.889648
24576,146.808311,202.920,-0.017320,2.168239,1.290199,0.009879,0.135742,0.874014,0.903320,0.000000,0.022461,0.000000,0.031250,0.000000,0.000000,0.901367
25600,154.288175,211.980,0.004013,1.150172,1.284065,0.002883,0.025977,0.870817,0.878906,0.000000,0.044922,0.000000,0.037109,0.000000,0.000000,0.874023
26624,161.884693,221.470,0.200566,1.410909,1.274454,0.004223,0.023047,0.855641,0.881836,0.000000,0.034180,0.000000,0.041016,0.000000,0.000000,0.878906
27648,169.183693,230.120,0.035811,1.135552,1.261117,0.009487,0.050195,0.850688,0.882812,0.000000,0.028320,0.000000,0.039062,0.000000,0.000000,0.877930
28672,176.894395,239.340,0.054908,0.891080,1.252130,0.005736,0.049219,0.839994,0.876953,0.000000,0.041992,0.001953,0.030273,0.000000,0.000000,0.875000
29696,183.430873,246.460,0.056062,0.913997,1.235033,0.002823,0.035352,0.823334,0.908203,0.000000,0.033203,0.000000,0.034180,0.000000,0.000000,0.904297
30720,190.145380,254.320,-0.074810,1.118609,1.214282,0.003011,0.012109,0.804758,0.879883,0.000000,0.035156,0.000000,0.030273,0.000000,0.000000,0.876953
31744,197.792867,262.990,0.034783,1.122561,1.199817,0.004324,0.022461,0.802670,0.878906,0.000000,0.024414,0.000000,0.037109,0.000000,0.000000,0.874023
32768,205.045647,271.710,0.214895,1.062668,1.190096,0.005371,0.031445,0.786292,0.865234,0.000000,0.057617,0.000000,0.035156,0.000000,0.000000,0.860352
33792,212.816637,280.900,0.071200,0.609598,1.166053,0.005044,0.052246,0.768981,0.870117,0.000000,0.012695,0.000000,0.037109,0.000000,0.000000,0.867188
34816,220.056347,289.160,-0.031783,0.901092,1.149572,0.005016,0.058105,0.761688,0.874023,0.000000,0.034180,0.000000,0.037109,0.000000,0.000000,0.871094
35840,227.443199,297.730,0.010301,1.152490,1.140045,0.007659,0.048047,0.751091,0.876953,0.000000,0.034180,0.000000,0.041992,0.000000,0.000000,0.871094
36864,234.545149,305.970,0.052987,1.012081,1.123342,0.006748,0.063965,0.738214,0.838867,0.000000,0.075195,0.000000,0.035156,0.000000,0.000000,0.836914
37888,241.381802,313.500,0.282425,0.727845,1.107669,0.004686,0.066211,0.726852,0.869141,0.000000,0.024414,0.000000,0.040039,0.000000,0.000000,0.862305
38912,249.556589,322.740,0.241967,0.902605,1.091957,0.004265,0.066211,0.715647,0.869141,0.000000,0.045898,0.000000,0.039062,0.000000,0.000000,0.863281
